file1;file2;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_dir_cnt-runtime;kofola_fast_dir_cnt-retcode;kofola_fast_dir_cnt-states_cnt;kofola_fast_gfee_cnt-runtime;kofola_fast_gfee_cnt-retcode;kofola_fast_gfee_cnt-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/termination/BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration2_A.ba.hoa;automata/termination/BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration2_B.ba.hoa;0.0;1;16;0.01;1;16;0.0;1;16;0.0;1;16;0.0;1;16;0.0;1;20
automata/termination/BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_A.ba.hoa;automata/termination/BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_B.ba.hoa;0.0;1;29;0.0;1;29;0.01;1;29;0.0;1;29;0.0;1;29;0.01;1;40
automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7;0.0;1;7
automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;8;0.0;1;11
automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;automata/termination/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;0.01;1;21;0.0;1;21;0.0;1;21;0.0;1;21;0.01;1;21;0.0;1;22
automata/termination/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration2_A.ba.hoa;automata/termination/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration2_B.ba.hoa;0.0;1;36;0.0;1;36;0.0;1;36;0.0;1;36;0.0;1;36;0.0;1;78
automata/termination/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3_A.ba.hoa;automata/termination/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration3_B.ba.hoa;0.0;1;65;0.0;1;65;0.02;1;65;0.0;1;65;0.0;1;65;0.0;1;246
automata/termination/Choose_false-termination.c_Iteration4_A.ba.hoa;automata/termination/Choose_false-termination.c_Iteration4_B.ba.hoa;0.0;1;20;0.0;1;20;0.0;1;20;0.0;1;20;0.0;1;20;0.0;1;17
automata/termination/ComplxStruc_false-termination.c_Iteration4_A.ba.hoa;automata/termination/ComplxStruc_false-termination.c_Iteration4_B.ba.hoa;0.0;1;16;0.0;1;16;0.0;1;16;0.0;1;16;0.0;1;16;0.0;1;67
automata/termination/CookSeeZuleger-2013TACAS-Fig7b-alloca_true-termination.c.i_Iteration3_A.ba.hoa;automata/termination/CookSeeZuleger-2013TACAS-Fig7b-alloca_true-termination.c.i_Iteration3_B.ba.hoa;0.0;1;21;0.0;1;21;0.0;1;21;0.0;1;21;0.0;1;21;0.0;1;28
automata/termination/CookSeeZuleger-2013TACAS-Fig7b-alloca_true-termination.c.i_Iteration4_A.ba.hoa;automata/termination/CookSeeZuleger-2013TACAS-Fig7b-alloca_true-termination.c.i_Iteration4_B.ba.hoa;0.01;1;21;0.0;1;21;0.01;1;21;0.0;1;21;0.0;1;21;0.0;1;66
