file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;kofola_nodir_high_cnt-runtime;kofola_nodir_high_cnt-retcode;kofola_nodir_high_cnt-states_cnt;kofola_nodir_high-runtime;kofola_nodir_high-retcode;kofola_nodir_high-states_cnt;kofola_nodir_medium_cnt-runtime;kofola_nodir_medium_cnt-retcode;kofola_nodir_medium_cnt-states_cnt;kofola_nodir_medium-runtime;kofola_nodir_medium-retcode;kofola_nodir_medium-states_cnt;kofola_nodir_low_cnt-runtime;kofola_nodir_low_cnt-retcode;kofola_nodir_low_cnt-states_cnt;kofola_nodir_low-runtime;kofola_nodir_low-retcode;kofola_nodir_low-states_cnt;kofola_nodir_no_preproc_cnt-runtime;kofola_nodir_no_preproc_cnt-retcode;kofola_nodir_no_preproc_cnt-states_cnt;kofola_nodir_no_preproc-runtime;kofola_nodir_no_preproc-retcode;kofola_nodir_no_preproc-states_cnt;kofola_noopt_high_cnt-runtime;kofola_noopt_high_cnt-retcode;kofola_noopt_high_cnt-states_cnt;kofola_noopt_high-runtime;kofola_noopt_high-retcode;kofola_noopt_high-states_cnt;kofola_noopt_medium_cnt-runtime;kofola_noopt_medium_cnt-retcode;kofola_noopt_medium_cnt-states_cnt;kofola_noopt_medium-runtime;kofola_noopt_medium-retcode;kofola_noopt_medium-states_cnt;kofola_noopt_low_cnt-runtime;kofola_noopt_low_cnt-retcode;kofola_noopt_low_cnt-states_cnt;kofola_noopt_low-runtime;kofola_noopt_low-retcode;kofola_noopt_low-states_cnt;kofola_noopt_no_preproc_cnt-runtime;kofola_noopt_no_preproc_cnt-retcode;kofola_noopt_no_preproc_cnt-states_cnt;kofola_noopt_no_preproc-runtime;kofola_noopt_no_preproc-retcode;kofola_noopt_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;0.0;0;9;0.0;0;;0.01;0;9;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.01;0;;0.0;0;307;0.0;0;;0.0;0;291;0.0;0;;0.0;0;291;0.0;0;;0.01;0;291;0.0;0;;0.0;0;307;0.0;0;;0.0;0;291;0.0;0;
automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;0.72;0;9;0.7;0;;0.68;0;9;0.69;0;;0.1;0;0;0.1;0;;64.78;0;0;60.38;0;;0.64;0;9;0.65;0;;0.62;0;9;0.64;0;;0.11;0;11;0.1;0;;0.92;0;66307;0.81;0;;0.27;0;66051;0.27;0;;0.24;0;66051;0.26;0;;0.26;0;66051;0.26;0;;0.54;0;66307;0.56;0;;0.1;0;66051;0.08;0;
automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;22;0.0;0;;0.01;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;
automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;0.09;0;14;0.09;0;;0.08;0;14;0.09;0;;0.27;0;0;0.3;0;;4.52;0;0;4.33;0;;0.09;0;14;0.08;0;;0.07;0;14;0.07;0;;0.06;0;4994;0.05;0;;0.2;0;21315;0.2;0;;0.07;0;20994;0.07;0;;0.07;0;20994;0.06;0;;0.07;0;20994;0.07;0;;0.12;0;21315;0.11;0;;0.04;0;20994;0.02;0;
automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;0.01;0;13;0.0;0;;0.0;0;13;0.0;0;;0.0;0;21;0.0;0;;0.0;0;161;0.0;0;;0.0;0;13;0.0;0;;0.0;0;13;0.0;0;;0.01;0;21;0.0;0;;0.0;0;161;0.0;0;;0.0;0;161;0.0;0;;0.0;0;161;0.0;0;;0.0;0;161;0.0;0;;0.0;0;161;0.0;0;;0.01;0;161;0.0;0;
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;0.11;0;13;0.11;0;;0.08;0;13;0.08;0;;0.07;0;21;0.07;0;;3.45;0;18182;3.56;0;;0.1;0;13;0.11;0;;0.07;0;13;0.08;0;;0.07;0;21;0.07;0;;0.29;0;18182;0.3;0;;0.09;0;17921;0.1;0;;0.1;0;17921;0.09;0;;0.1;0;17921;0.1;0;;0.23;0;18182;0.24;0;;0.05;0;17921;0.04;0;
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;0.01;1;2;0.02;1;;0.01;1;2;0.02;1;;0.02;1;2;0.01;1;;0.02;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.02;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.02;1;31;0.01;1;
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;1.03;1;78;1.04;1;;1.02;1;78;1.03;1;;1.6;1;121;1.52;1;;1.33;1;138;1.29;1;;0.48;1;78;0.49;1;;0.49;1;78;0.48;1;;0.42;1;121;0.41;1;;0.15;1;138;0.14;1;;0.44;1;125;0.44;1;;0.44;1;125;0.44;1;;0.37;1;125;0.37;1;;0.17;1;153;0.15;1;;1.7;1;4160;1.47;1;
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;140.08;1;323;143.68;1;;141.79;1;323;141.98;1;;506.17;1;219;509.53;1;;502.65;1;289;497.36;1;;1.93;1;323;1.93;1;;1.92;1;323;1.97;1;;2.55;1;219;2.59;1;;3.56;1;289;3.6;1;;1.5;1;219;1.56;1;;1.52;1;219;1.5;1;;2.5;1;219;2.52;1;;3.64;1;289;3.68;1;;ERR;ERR;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;6.46;1;591;6.59;1;;6.47;1;591;6.33;1;;5.58;1;294;5.58;1;;8.61;1;329;8.71;1;;5.45;1;294;5.45;1;;5.37;1;294;5.45;1;;5.33;1;294;5.41;1;;8.8;1;329;9.03;1;;ERR;ERR;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;5.9;1;153;5.55;1;;5.78;1;153;5.47;1;;14.49;1;219;16.65;1;;17.24;1;249;14.94;1;;0.9;1;153;0.95;1;;0.94;1;153;0.92;1;;0.6;1;219;0.61;1;;0.78;1;249;0.79;1;;0.86;1;219;0.84;1;;0.83;1;219;0.81;1;;0.53;1;219;0.55;1;;0.82;1;249;0.82;1;;15.81;1;11636;15.45;1;
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;0.02;0;16;0.02;0;;0.02;0;16;0.02;0;;0.02;1;32;0.01;1;;1.78;1;4515;1.78;1;;0.01;1;20;0.01;1;;0.01;1;20;0.01;1;;0.01;1;32;0.01;1;;1.84;1;4515;1.79;1;;0.01;1;1329;0.01;1;;0.01;1;1329;0.0;1;;0.01;1;1329;0.01;1;;0.18;1;5407;0.23;1;;0.01;1;1187;0.01;1;
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;0.06;1;19;0.07;1;;0.06;1;19;0.05;1;;0.06;1;32;0.05;1;;20.3;1;13393;19.97;1;;0.04;1;19;0.03;1;;0.03;1;19;0.03;1;;0.02;1;32;0.02;1;;20.18;1;13393;19.94;1;;0.03;1;2007;0.03;1;;0.03;1;2007;0.03;1;;0.03;1;2007;0.03;1;;1.87;1;18791;1.84;1;;0.03;1;1625;0.02;1;
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;0.05;1;19;0.05;1;;0.05;1;19;0.04;1;;0.05;1;32;0.04;1;;12.3;1;10701;12.15;1;;0.03;1;19;0.03;1;;0.03;1;19;0.02;1;;0.03;1;32;0.02;1;;12.35;1;10701;12.11;1;;0.03;1;2039;0.03;1;;0.02;1;2039;0.03;1;;0.03;1;2039;0.02;1;;1.37;1;13335;1.39;1;;0.03;1;1691;0.02;1;
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;0.02;0;16;0.03;0;;0.03;0;16;0.02;0;;0.02;1;32;0.01;1;;5.58;1;7520;5.44;1;;0.01;1;20;0.01;1;;0.01;1;20;0.01;1;;0.01;1;32;0.01;1;;5.56;1;7520;5.51;1;;0.01;1;1501;0.02;1;;0.01;1;1501;0.02;1;;0.01;1;1501;0.01;1;;0.37;1;8547;0.37;1;;0.01;1;1339;0.01;1;
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;1.94;1;481;2.01;1;;1.77;1;481;1.78;1;;3.17;1;4310;3.09;1;;2.78;1;4975;2.82;1;;1.17;1;481;1.19;1;;1.19;1;481;1.17;1;;0.96;1;4310;0.95;1;;0.59;1;4975;0.56;1;;1.16;1;4919;1.15;1;;1.15;1;4919;1.17;1;;0.9;1;4919;0.89;1;;ERR;ERR;ERR;ERR;ERR;ERR;0.53;1;4991;0.52;1;
