file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/gni_concur_p2_1bit_A.hoa;automata/hyperltl/gni_concur_p2_1bit_B.hoa;0.35;0;;0.13;1;;0.21;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;373;0.01;0;373;0.0;0;373;0.01;0;373;0.0;0;373
automata/hyperltl/gni_concur_p2_1bit_B.hoa;automata/hyperltl/gni_concur_p2_1bit_A.hoa;0.32;0;;0.13;1;;0.17;0;;0.0;0;;0.01;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;43;0.0;0;43;0.0;0;43;0.0;0;43;0.0;0;43
automata/hyperltl/gni_concur_p3_1bit_A.hoa;automata/hyperltl/gni_concur_p3_1bit_B.hoa;0.08;0;;0.18;0;;0.44;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;114;0.0;0;114;0.01;0;114;0.0;0;114;0.0;0;114
automata/hyperltl/gni_concur_p3_1bit_B.hoa;automata/hyperltl/gni_concur_p3_1bit_A.hoa;0.09;0;;0.13;0;;0.25;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;22;0.0;0;22;0.0;0;22;0.0;0;22;0.0;0;22
automata/hyperltl/gni_concur_p3_3bit_A.hoa;automata/hyperltl/gni_concur_p3_3bit_B.hoa;0.67;0;;33.25;0;;368.83;0;;0.02;0;;0.02;0;;0.02;0;;0.02;0;;0.01;0;;0.02;0;1794;0.02;0;1794;0.02;0;1794;0.02;0;1794;0.01;0;1794
automata/hyperltl/gni_concur_p3_3bit_B.hoa;automata/hyperltl/gni_concur_p3_3bit_A.hoa;0.65;0;;47.82;0;;268.86;0;;0.01;0;;0.02;0;;0.01;0;;0.02;0;;0.01;0;;0.02;0;82;0.02;0;82;0.01;0;82;0.02;0;82;0.01;0;82
automata/hyperltl/gni_concur_p4_1bit_A.hoa;automata/hyperltl/gni_concur_p4_1bit_B.hoa;0.11;0;;0.11;1;;0.17;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;177;0.0;0;177;0.0;0;177;0.0;0;177;0.0;0;177
automata/hyperltl/gni_concur_p4_1bit_B.hoa;automata/hyperltl/gni_concur_p4_1bit_A.hoa;0.12;0;;0.1;1;;0.17;0;;0.01;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;29;0.0;0;29;0.0;0;29;0.0;0;29;0.0;0;29
automata/hyperltl/gni_concur_p4_3bit_A.hoa;automata/hyperltl/gni_concur_p4_3bit_B.hoa;1.29;0;;0.4;1;;3.34;0;;0.02;0;;0.03;0;;0.02;0;;0.03;0;;0.02;0;;0.02;0;2817;0.02;0;2817;0.03;0;2817;0.03;0;2817;0.01;0;2817
automata/hyperltl/gni_concur_p4_3bit_B.hoa;automata/hyperltl/gni_concur_p4_3bit_A.hoa;1.8;0;;0.36;1;;5.22;0;;0.06;0;;0.05;0;;0.05;0;;0.05;0;;0.02;0;;0.05;0;113;0.05;0;113;0.05;0;113;0.05;0;113;0.01;0;113
