file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;kofola_nodir_high_cnt-runtime;kofola_nodir_high_cnt-retcode;kofola_nodir_high_cnt-states_cnt;kofola_nodir_high-runtime;kofola_nodir_high-retcode;kofola_nodir_high-states_cnt;kofola_nodir_medium_cnt-runtime;kofola_nodir_medium_cnt-retcode;kofola_nodir_medium_cnt-states_cnt;kofola_nodir_medium-runtime;kofola_nodir_medium-retcode;kofola_nodir_medium-states_cnt;kofola_nodir_low_cnt-runtime;kofola_nodir_low_cnt-retcode;kofola_nodir_low_cnt-states_cnt;kofola_nodir_low-runtime;kofola_nodir_low-retcode;kofola_nodir_low-states_cnt;kofola_nodir_no_preproc_cnt-runtime;kofola_nodir_no_preproc_cnt-retcode;kofola_nodir_no_preproc_cnt-states_cnt;kofola_nodir_no_preproc-runtime;kofola_nodir_no_preproc-retcode;kofola_nodir_no_preproc-states_cnt;kofola_noopt_high_cnt-runtime;kofola_noopt_high_cnt-retcode;kofola_noopt_high_cnt-states_cnt;kofola_noopt_high-runtime;kofola_noopt_high-retcode;kofola_noopt_high-states_cnt;kofola_noopt_medium_cnt-runtime;kofola_noopt_medium_cnt-retcode;kofola_noopt_medium_cnt-states_cnt;kofola_noopt_medium-runtime;kofola_noopt_medium-retcode;kofola_noopt_medium-states_cnt;kofola_noopt_low_cnt-runtime;kofola_noopt_low_cnt-retcode;kofola_noopt_low_cnt-states_cnt;kofola_noopt_low-runtime;kofola_noopt_low-retcode;kofola_noopt_low-states_cnt;kofola_noopt_no_preproc_cnt-runtime;kofola_noopt_no_preproc_cnt-retcode;kofola_noopt_no_preproc_cnt-states_cnt;kofola_noopt_no_preproc-runtime;kofola_noopt_no_preproc-retcode;kofola_noopt_no_preproc-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt
automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.0;0;;0.01;0;27;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.0;0;;0.0;0;27;0.0;0;;0.0;0;27;0.0;0;
automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.0;0;;0.0;0;307;0.0;0;;0.0;0;9;0.0;0;;0.0;0;9;0.0;0;;0.0;0;11;0.0;0;;0.0;0;307;0.0;0;;0.0;0;291;0.01;0;
automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;0.72;0;9;0.7;0;;0.69;0;9;0.68;0;;0.09;0;0;0.09;0;;62.98;0;0;62.07;0;;0.68;0;9;0.69;0;;0.66;0;9;0.57;0;;0.1;0;11;0.1;0;;0.96;0;66307;1.09;0;;0.65;0;9;0.69;0;;0.66;0;9;0.6;0;;0.1;0;11;0.09;0;;0.55;0;66307;0.54;0;;0.1;0;66051;0.09;0;
automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;0;0.0;0;;0.0;0;0;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.0;0;22;0.0;0;;0.0;0;114;0.0;0;;0.0;0;14;0.0;0;;0.0;0;14;0.0;0;;0.01;0;22;0.0;0;;0.0;0;114;0.0;0;;0.0;0;114;0.0;0;
automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;0.08;0;14;0.07;0;;0.08;0;14;0.09;0;;0.28;0;0;0.28;0;;4.97;0;0;4.29;0;;0.07;0;14;0.08;0;;0.08;0;14;0.08;0;;0.05;0;4994;0.05;0;;0.26;0;21315;0.25;0;;0.08;0;14;0.08;0;;0.09;0;14;0.07;0;;0.05;0;4994;0.05;0;;0.12;0;21315;0.12;0;;0.04;0;20994;0.04;0;
automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;0.0;0;13;0.01;0;;0.0;0;13;0.01;0;;0.0;0;21;0.0;0;;0.0;0;161;0.0;0;;0.0;0;13;0.0;0;;0.0;0;13;0.0;0;;0.01;0;21;0.0;0;;0.0;0;161;0.0;0;;0.0;0;13;0.0;0;;0.0;0;13;0.0;0;;0.0;0;21;0.01;0;;0.0;0;161;0.0;0;;0.0;0;161;0.0;0;
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;0.1;0;13;0.11;0;;0.07;0;13;0.07;0;;0.07;0;21;0.07;0;;3.55;0;18182;3.46;0;;0.1;0;13;0.11;0;;0.08;0;13;0.08;0;;0.08;0;21;0.06;0;;0.34;0;18182;0.34;0;;0.1;0;13;0.1;0;;0.07;0;13;0.07;0;;0.06;0;21;0.06;0;;0.23;0;18182;0.23;0;;0.04;0;17921;0.06;0;
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;0.02;1;2;0.02;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.02;1;2;0.02;1;;0.02;1;2;0.01;1;;0.01;1;2;0.02;1;;0.01;1;2;0.02;1;;0.01;1;2;0.01;1;;0.01;1;2;0.02;1;;0.02;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;2;0.01;1;;0.01;1;31;0.02;1;
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;1.05;1;78;1.02;1;;1.03;1;78;1.04;1;;1.56;1;121;1.6;1;;1.3;1;138;1.32;1;;0.49;1;78;0.49;1;;0.49;1;78;0.48;1;;0.41;1;121;0.41;1;;0.15;1;138;0.14;1;;0.5;1;78;0.49;1;;0.49;1;78;0.49;1;;0.4;1;121;0.41;1;;0.15;1;138;0.16;1;;1.53;1;4160;1.62;1;
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;143.18;1;323;143.52;1;;139.4;1;323;150.3;1;;512.41;1;219;504.32;1;;510.83;1;289;508.39;1;;1.9;1;323;1.94;1;;1.92;1;323;1.94;1;;2.59;1;219;2.56;1;;3.53;1;289;3.59;1;;1.99;1;323;1.93;1;;1.99;1;323;1.95;1;;2.59;1;219;2.59;1;;3.58;1;289;3.6;1;;ERR;ERR;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;6.59;1;591;6.54;1;;6.6;1;591;6.64;1;;5.55;1;294;5.48;1;;8.55;1;329;8.76;1;;6.47;1;591;6.4;1;;6.28;1;591;6.39;1;;5.53;1;294;5.61;1;;8.7;1;329;8.74;1;;ERR;ERR;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;5.95;1;153;6.36;1;;5.94;1;153;5.7;1;;14.34;1;219;13.57;1;;14.51;1;249;14.2;1;;0.92;1;153;0.91;1;;0.9;1;153;0.91;1;;0.61;1;219;0.6;1;;0.77;1;249;0.79;1;;0.94;1;153;0.96;1;;0.95;1;153;0.93;1;;0.6;1;219;0.59;1;;0.78;1;249;0.79;1;;16.25;1;11636;15.55;1;
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;0.03;0;16;0.02;0;;0.01;0;16;0.02;0;;0.01;1;32;0.01;1;;2.35;1;4515;2.33;1;;0.01;1;20;0.01;1;;0.01;1;20;0.01;1;;0.01;1;32;0.0;1;;2.41;1;4515;2.34;1;;0.01;1;20;0.01;1;;0.01;1;20;0.0;1;;0.01;1;34;0.01;1;;0.18;1;5407;0.17;1;;0.01;1;1187;0.01;1;
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;0.06;1;19;0.07;1;;0.06;1;19;0.06;1;;0.05;1;32;0.05;1;;26.33;1;13393;26.34;1;;0.03;1;19;0.03;1;;0.04;1;19;0.03;1;;0.04;1;32;0.02;1;;26.62;1;13393;26.24;1;;0.03;1;19;0.03;1;;0.03;1;19;0.03;1;;0.03;1;34;0.02;1;;1.89;1;19305;1.88;1;;0.03;1;1625;0.03;1;
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;0.06;1;19;0.05;1;;0.05;1;19;0.04;1;;0.05;1;32;0.05;1;;16.26;1;10701;16.1;1;;0.03;1;19;0.03;1;;0.02;1;19;0.03;1;;0.03;1;32;0.02;1;;16.21;1;10701;16.08;1;;0.03;1;19;0.03;1;;0.03;1;19;0.02;1;;0.03;1;34;0.01;1;;1.41;1;13845;1.42;1;;0.02;1;1691;0.02;1;
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;0.03;0;16;0.03;0;;0.02;0;16;0.02;0;;0.02;1;32;0.02;1;;7.36;1;7520;7.46;1;;0.02;1;20;0.01;1;;0.01;1;20;0.01;1;;0.01;1;32;0.01;1;;7.5;1;7520;7.46;1;;0.02;1;20;0.01;1;;0.01;1;20;0.01;1;;0.01;1;34;0.0;1;;0.43;1;10079;0.44;1;;0.01;1;1339;0.01;1;
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;1.96;1;481;1.94;1;;1.79;1;481;1.75;1;;3.16;1;4310;3.23;1;;2.94;1;4975;2.87;1;;1.19;1;481;1.19;1;;1.16;1;481;1.19;1;;1.02;1;4310;1.02;1;;0.66;1;4975;0.66;1;;1.17;1;481;1.18;1;;1.17;1;481;1.17;1;;0.87;1;4310;0.88;1;;0.58;1;10820;0.57;1;;0.51;1;4991;0.53;1;
